"num.claims" "av.claimsize"
"2734" 3 0.432446666666667
"2740" 4 0.9287575
"2741" 1 0.62329
"2742" 1 0.35908
"2745" 1 1.94854
"2748" 1 0.1998
"2753" 1 2.02819
"2754" 2 0.06908
"2755" 1 2.23451
"2756" 1 0.90906
"2757" 1 3.84029
"2761" 2 3.152575
"2762" 2 1.96504
"2773" 4 2.7473525
"2774" 1 3
"2775" 2 2.584125
"2778" 1 4
"2779" 1 0.54883
"2781" 1 0.2752
"2783" 2 2.281465
"2788" 2 2.653005
"2789" 1 0.20191
"2790" 1 5.55
"2792" 2 2.01821
"2793" 1 0.95546
"2801" 2 1.876525
"2803" 2 1.313155
"2807" 2 0.63976
"2812" 1 1.41368
"2813" 1 0.48103
"2821" 2 1.871215
"2823" 2 0.40734
"2826" 1 0.14297
"2828" 1 0.67105
"2830" 2 0.075
"2835" 2 1.77491
"2837" 3 0.196186666666667
"2839" 3 2.83738666666667
"2843" 2 3.382305
"2852" 1 5.92
"2858" 2 2.80511
"2859" 2 3.13674
"2861" 1 0.25376
"2866" 1 0.26832
"2867" 1 4.54819
"2868" 1 0.64992
"2869" 2 1.77257
"2873" 1 5.00388
"2875" 1 0.08032
"2882" 3 2.05195666666667
"2884" 1 0.56502
"2889" 1 4.87296
"2893" 1 1.32604
"2897" 1 5.6472
"2898" 1 5.04936
"2900" 1 2.06767
"2903" 1 0.75572
"2906" 2 4.36579
"2916" 3 0.463016666666667
"2918" 1 1.9961
"2921" 3 1.67124333333333
"2923" 1 0.4957
"2926" 1 9.99955
"2927" 1 3
"2929" 1 0.25498
"2930" 1 5.66934
"2935" 1 0.63404
"2937" 1 0.60401
"2939" 1 0.74764
"2940" 1 1.576
"2944" 2 0.908585
"2946" 1 0.89887
"2950" 1 0.83113
"2951" 2 0.0754
"2954" 1 1.25295
"2955" 1 3.95
"2958" 1 6.80314
"2961" 2 3.43904
"2963" 1 3.95813
"2965" 1 0.1508
"2967" 1 2.5
"2971" 2 0.29487
"2972" 1 0.43934
"2974" 1 3.00481
"2987" 1 0.82009
"2994" 1 0.21284
"2995" 1 0.35673
"2999" 2 3.27821
"3000" 3 0.71634
"3001" 1 0.66721
"3004" 2 0.24295
"3018" 1 0.03728
"3020" 1 2.27692
"3023" 2 3.718635
"3025" 1 0.66306
